,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,vs. Division,Atlantic,5,4,1,0.8,48.0,44.0,84.4,0.521,10.6,26.4,0.402,17.8,22.0,0.809,6.8,38.8,45.6,27.8,16.6,9.4,9.6,4.0,21.4,18.6,116.4,7.4,2,1,2,2,1,3,5,3,5,6,5,3,2,4,5,1,2,6,4,2,2,3,4,3,4,6,165,Atlantic
1,vs. Division,Central,2,1,1,0.5,48.0,48.5,84.0,0.577,13.0,31.5,0.413,15.0,16.5,0.909,8.0,36.5,44.5,32.5,18.5,7.0,11.0,1.0,14.5,13.0,125.0,20.5,5,5,2,5,1,1,6,1,4,4,2,5,6,1,4,3,4,2,5,6,1,1,1,6,1,1,165,Central
2,vs. Division,Northwest,3,2,1,0.667,48.0,43.7,85.3,0.512,14.3,35.7,0.402,12.7,17.7,0.717,5.7,36.0,41.7,32.3,18.7,11.3,7.0,3.7,22.0,17.7,114.3,8.7,3,4,2,3,1,4,3,4,2,1,4,6,5,6,6,5,5,3,6,1,5,2,5,4,5,5,165,Northwest
3,vs. Division,Pacific,2,1,1,0.5,48.0,46.0,84.5,0.544,15.0,33.0,0.455,16.5,22.0,0.75,11.5,29.5,41.0,34.0,13.5,8.5,7.0,4.5,19.0,17.5,123.5,12.0,5,5,2,5,1,2,4,2,1,3,1,4,3,5,2,6,6,1,1,3,6,4,2,5,2,2,165,Pacific
4,vs. Division,Southeast,3,3,0,1.0,48.0,40.7,90.0,0.452,9.7,31.0,0.312,18.0,20.0,0.9,13.3,38.0,51.3,29.3,16.3,7.7,9.3,5.0,20.7,19.7,109.0,10.0,3,3,1,1,1,6,1,6,6,5,6,2,4,2,1,2,1,5,3,5,3,6,3,1,6,4,165,Southeast
5,vs. Division,Southwest,6,4,2,0.667,48.0,42.2,86.3,0.488,14.2,34.7,0.409,19.0,22.8,0.832,9.0,36.2,45.2,29.3,15.3,8.2,8.3,5.0,23.8,19.0,117.5,10.3,1,1,6,3,6,5,2,5,3,2,3,1,1,3,3,4,3,4,2,4,4,5,6,2,3,3,165,Southwest
0,vs. Division,Atlantic,5,4,1,0.8,12.0,11.2,23.6,0.475,2.8,7.2,0.389,4.6,5.6,0.821,3.2,11.0,14.2,6.6,4.6,3.2,2.2,1.4,3.4,3.6,29.8,2.0,2,1,2,2,1,2,3,3,5,4,5,2,2,4,2,1,1,6,4,1,3,3,3,5,3,3,165,Atlantic
1,vs. Division,Central,2,1,1,0.5,12.0,14.0,23.5,0.596,3.0,6.0,0.5,1.0,1.0,1.0,2.5,8.5,11.0,10.0,4.0,2.0,3.0,0.0,4.0,1.5,32.0,2.5,5,5,2,5,1,1,4,1,4,6,1,6,6,1,4,5,4,1,3,5,1,1,5,6,1,2,165,Central
2,vs. Division,Northwest,3,2,1,0.667,12.0,10.7,23.7,0.451,4.0,9.3,0.429,2.7,3.7,0.727,2.3,10.3,12.7,8.3,5.7,2.7,2.7,1.0,3.3,3.7,28.0,2.0,3,4,2,3,1,4,2,4,1,2,3,5,5,6,5,2,3,2,6,2,2,2,2,4,4,3,165,Northwest
3,vs. Division,Pacific,2,1,1,0.5,12.0,11.0,19.5,0.564,3.5,7.0,0.5,5.0,6.5,0.769,2.5,7.5,10.0,8.0,3.5,2.5,0.5,2.0,4.0,5.0,30.5,3.0,5,5,2,5,1,3,6,2,3,5,1,1,1,5,3,6,6,4,1,3,6,5,4,1,2,1,165,Pacific
4,vs. Division,Southeast,3,3,0,1.0,12.0,10.0,24.3,0.411,2.0,8.3,0.24,3.3,4.0,0.833,4.0,9.3,13.3,6.7,5.3,1.7,2.0,2.3,3.0,4.7,25.3,-2.7,3,3,1,1,1,5,1,6,6,3,6,4,4,3,1,3,2,5,5,6,4,6,1,3,6,5,165,Southeast
5,vs. Division,Southwest,6,4,2,0.667,12.0,9.8,22.3,0.44,3.8,9.7,0.397,4.5,5.2,0.871,1.7,8.8,10.5,8.2,3.8,2.3,1.8,1.7,5.2,4.8,28.0,-4.0,1,1,6,3,6,6,5,5,2,1,4,3,3,2,6,4,5,3,2,4,5,4,6,2,5,6,165,Southwest
0,vs. Division,Atlantic,5,4,1,0.8,12.0,10.8,21.8,0.495,1.8,5.6,0.321,4.6,6.0,0.767,1.8,10.6,12.4,6.8,4.0,1.8,2.8,1.2,5.4,5.2,28.0,0.8,2,1,2,2,1,4,3,4,5,6,5,4,4,5,4,2,3,5,3,3,3,6,3,4,4,5,165,Atlantic
1,vs. Division,Central,2,1,1,0.5,12.0,11.5,19.0,0.605,2.5,6.5,0.385,8.0,9.0,0.889,1.0,11.5,12.5,6.0,5.0,1.5,1.0,0.5,2.0,6.5,33.5,10.5,5,5,2,5,1,2,6,1,4,5,2,1,1,2,5,1,2,6,6,5,6,3,1,1,2,1,165,Central
2,vs. Division,Northwest,3,2,1,0.667,12.0,10.3,21.3,0.484,3.0,8.7,0.346,1.3,2.0,0.667,1.0,8.7,9.7,7.3,4.7,1.3,1.3,1.0,6.3,3.0,25.0,-5.7,3,4,2,3,1,6,4,5,2,1,3,6,6,6,6,5,6,3,5,6,5,5,5,6,6,6,165,Northwest
3,vs. Division,Pacific,2,1,1,0.5,12.0,13.0,23.5,0.553,2.5,7.5,0.333,5.5,7.0,0.786,2.5,8.5,11.0,9.5,2.0,2.5,3.5,0.5,4.0,5.5,34.0,6.5,5,5,2,5,1,1,2,2,3,3,4,3,3,3,2,6,4,1,1,2,1,2,2,3,1,2,165,Pacific
4,vs. Division,Southeast,3,3,0,1.0,12.0,11.0,23.7,0.465,1.7,7.3,0.227,4.0,4.3,0.923,4.0,9.7,13.7,9.0,4.0,2.7,3.3,0.0,6.3,4.0,27.7,2.3,3,3,1,1,1,3,1,6,6,4,6,5,5,1,1,3,1,2,3,1,2,1,4,5,5,4,165,Southeast
5,vs. Division,Southwest,6,4,2,0.667,12.0,10.5,21.0,0.5,3.7,8.0,0.458,5.8,7.5,0.778,1.8,8.8,10.7,7.2,3.8,1.5,2.3,0.8,6.7,5.8,30.5,3.8,1,1,6,3,1,5,5,3,1,2,1,2,2,4,3,4,5,4,2,4,4,4,6,2,3,3,165,Southwest
