;GROUP_SET;GROUP_VALUE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;NBA_FANTASY_PTS;DD2;TD3;GP_RANK;W_RANK;L_RANK;W_PCT_RANK;MIN_RANK;FGM_RANK;FGA_RANK;FG_PCT_RANK;FG3M_RANK;FG3A_RANK;FG3_PCT_RANK;FTM_RANK;FTA_RANK;FT_PCT_RANK;OREB_RANK;DREB_RANK;REB_RANK;AST_RANK;TOV_RANK;STL_RANK;BLK_RANK;BLKA_RANK;PF_RANK;PFD_RANK;PTS_RANK;PLUS_MINUS_RANK;NBA_FANTASY_PTS_RANK;DD2_RANK;TD3_RANK;CFID;CFPARAMS;;PERSON_ID;FIRST_NAME;LAST_NAME;DISPLAY_FIRST_LAST;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER
0;By Period;1;9;6;3;0.667;4;0.7;0.8;0.857;0.1;0.2;0.5;0;0;0;0;0.4;0.4;0.4;0.1;0.1;0.1;0;0.1;0.1;1.4;-2.7;3.2;0;0;4;3;3;3;3;2;4;1;3;3;1;3;3;3;4;1;1;3;3;4;1;4;3;3;2;4;2;1;1;25;1;;1627775;Patrick;McCaw;Patrick McCaw;McCaw, Patrick;P. McCaw;1995-10-25T00:00:00;Nevada-Las Vegas;USA;Nevada-Las Vegas/USA;06-Jul;185;1;0;Guard;Active;1610612744;Warriors;GSW;warriors;Golden State;patrick_mccaw;2016;2017;Y;Y;2016;2;38
1;By Period;2;14;10;4;0.714;5.3;0.4;0.9;0.417;0;0.2;0;0;0;0;0.1;0.1;0.3;0.5;0.2;0.4;0.1;0.1;0.4;0.1;0.7;-1.3;2.9;0;0;1;2;1;2;2;3;2;3;4;4;4;4;3;3;1;4;4;2;2;1;3;1;2;4;4;3;4;1;1;25;2;;1627776;Patrick;McCaw;Patrick McCaw;McCaw, Patrick;P. McCaw;1995-10-25T00:00:01;Nevada-Las Vegas;USA;Nevada-Las Vegas/USA;07-Jul;185;1;0;Guard;Active;1610612745;Warriors;GSW;warriors;Golden State;patrick_mccaw;2016;2017;Y;Y;2016;2;38
2;By Period;3;10;6;4;0.6;3.8;0.3;0.8;0.375;0.2;0.6;0.333;0.4;0.4;1;0.1;0.2;0.3;0.2;0.1;0.3;0.1;0;0.1;0.2;1.2;1;3;0;0;3;3;1;4;4;4;3;4;2;2;3;1;1;1;2;3;3;4;4;2;2;3;4;2;3;2;3;1;1;25;3;;1627777;Patrick;McCaw;Patrick McCaw;McCaw, Patrick;P. McCaw;1995-10-25T00:00:02;Nevada-Las Vegas;USA;Nevada-Las Vegas/USA;08-Jul;185;1;0;Guard;Active;1610612746;Warriors;GSW;warriors;Golden State;patrick_mccaw;2016;2017;Y;Y;2016;2;38
3;By Period;4;14;11;3;0.786;7.3;1.1;2.3;0.5;0.5;1.1;0.467;0.1;0.2;0.333;0.1;0.4;0.4;0.7;0.3;0.2;0;0.1;0.6;0.3;2.9;1.6;4.8;0;0;1;1;3;1;1;1;1;2;1;1;2;2;2;2;3;2;2;1;1;3;4;2;1;1;1;1;1;1;1;25;4;;1627778;Patrick;McCaw;Patrick McCaw;McCaw, Patrick;P. McCaw;1995-10-25T00:00:03;Nevada-Las Vegas;USA;Nevada-Las Vegas/USA;09-Jul;185;1;0;Guard;Active;1610612747;Warriors;GSW;warriors;Golden State;patrick_mccaw;2016;2017;Y;Y;2016;2;38
0;By Period;1;19;14;5;0.737;4.3;0.9;1.8;0.486;0;0;0;0.2;0.3;0.667;0.6;0.8;1.4;0.3;0.2;0.3;0.3;0.1;0.6;0.3;2;-0.6;5.6;0;0;1;1;1;2;1;1;1;2;2;2;1;2;2;2;1;2;1;2;2;1;2;3;2;2;2;3;1;1;1;25;1;;201580;JaVale;McGee;JaVale McGee;McGee, JaVale;J. McGee;1988-01-19T00:00:00;Nevada;USA;Nevada-Reno/USA;7-0;270;9;1;Center;Active;1610612744;Warriors;GSW;warriors;Golden State;javale_mcgee;2008;2017;N;Y;2008;1;18
1;By Period;3;13;9;4;0.692;3.9;0.6;0.7;0.889;0;0;0;0.1;0.2;0.333;0.1;0.4;0.5;0.5;0.2;0.2;0.5;0.1;0.6;0.2;1.3;1;4.4;0;0;2;2;2;3;2;2;3;1;2;3;1;3;3;3;3;3;3;1;1;2;1;2;1;3;3;2;2;1;1;25;3;;201581;JaVale;McGee;JaVale McGee;McGee, JaVale;J. McGee;1988-01-19T00:00:01;Nevada;USA;Nevada-Reno/USA;7-1;270;9;1;Center;Active;1610612745;Warriors;GSW;warriors;Golden State;javale_mcgee;2008;2017;N;Y;2008;1;18
2;By Period;4;6;5;1;0.833;3.5;0.5;1.3;0.375;0;0.3;0;1.2;1.2;1;0.2;1;1.2;0.2;0.2;0;0.2;0.2;0.5;0.7;2.2;1.8;4.2;0;0;3;3;3;1;3;3;2;3;1;1;1;1;1;1;2;1;2;3;3;3;3;1;3;1;1;1;3;1;1;25;4;;201582;JaVale;McGee;JaVale McGee;McGee, JaVale;J. McGee;1988-01-19T00:00:02;Nevada;USA;Nevada-Reno/USA;7-2;270;9;1;Center;Active;1610612746;Warriors;GSW;warriors;Golden State;javale_mcgee;2008;2017;N;Y;2008;1;18
0;By Period;1;7;5;2;0.714;3.6;1;1.1;0.875;0;0;0;0;0;0;0.3;0.1;0.4;0.3;0.4;0.3;0.3;0.1;0.9;0;2;1.1;4.2;0;0;4;4;1;4;3;1;2;1;1;1;1;3;2;2;4;4;4;2;1;2;3;2;1;3;1;4;3;1;1;25;1;;1628395;Jordan;Bell;Jordan Bell;Bell, Jordan;J. Bell;1995-01-07T00:00:00;Oregon;USA;Oregon/USA;06-Sep;224;0;2;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;jordan_bell;2017;2017;N;Y;2017;2;38
1;By Period;2;9;7;2;0.778;2.6;0.4;0.6;0.8;0;0;0;0;0;0;0.3;0.4;0.8;0.1;0;0.1;0.1;0.1;0.6;0.1;0.9;2.6;2.7;0;0;2;2;1;2;4;4;4;2;1;1;1;3;2;2;3;3;3;4;4;4;4;3;4;2;4;2;4;1;1;25;2;;1628396;Jordan;Bell;Jordan Bell;Bell, Jordan;J. Bell;1995-01-07T00:00:01;Oregon;USA;Oregon/USA;07-Sep;224;0;2;Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;jordan_bell;2017;2017;N;Y;2017;2;38
2;By Period;3;9;7;2;0.778;4.7;0.9;1.3;0.667;0;0;0;0;0;0;0.7;0.7;1.3;0.2;0.1;0.1;0.7;0.2;0.7;0;1.8;3.3;5.9;0;0;2;2;1;2;2;2;1;3;1;1;1;2;2;2;1;2;2;3;3;3;1;1;3;4;2;1;2;1;1;25;3;;1628397;Jordan;Bell;Jordan Bell;Bell, Jordan;J. Bell;1995-01-07T00:00:02;Oregon;USA;Oregon/USA;08-Sep;224;0;2;Forward;Active;1610612746;Warriors;GSW;warriors;Golden State;jordan_bell;2017;2017;N;Y;2017;2;38
