,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,1627775,Patrick,McCaw,Patrick McCaw,"McCaw, Patrick",P. McCaw,1995-10-25T00:00:00,Nevada-Las Vegas,USA,Nevada-Las Vegas/USA,6-7,185,1,0,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,patrick_mccaw,2016,2017,Y,Y,2016,2,38
0,201580,JaVale,McGee,JaVale McGee,"McGee, JaVale",J. McGee,1988-01-19T00:00:00,Nevada,USA,Nevada-Reno/USA,7-0,270,9,1,Center,Active,1610612744,Warriors,GSW,warriors,Golden State,javale_mcgee,2008,2017,N,Y,2008,1,18
0,1628395,Jordan,Bell,Jordan Bell,"Bell, Jordan",J. Bell,1995-01-07T00:00:00,Oregon,USA,Oregon/USA,6-9,224,0,2,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,jordan_bell,2017,2017,N,Y,2017,2,38
0,2561,David,West,David West,"West, David",D. West,1980-08-29T00:00:00,Xavier,USA,Xavier (Ohio)/USA,6-9,250,14,3,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,david_west,2003,2017,N,Y,2003,1,18
0,1626188,Quinn,Cook,Quinn Cook,"Cook, Quinn",Q. Cook,1993-03-23T00:00:00,Duke,USA,Duke/USA,6-2,179,1,4,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,quinn_cook,2016,2017,Y,Y,Undrafted,Undrafted,Undrafted
0,1626172,Kevon,Looney,Kevon Looney,"Looney, Kevon",K. Looney,1996-02-06T00:00:00,UCLA,USA,UCLA/USA,6-9,220,2,5,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,kevon_looney,2015,2017,Y,Y,2015,1,30
0,201156,Nick,Young,Nick Young,"Young, Nick",N. Young,1985-06-01T00:00:00,Southern California,USA,USC/USA,6-7,210,10,6,Guard-Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,nick_young,2007,2017,N,Y,2007,1,16
0,2738,Andre,Iguodala,Andre Iguodala,"Iguodala, Andre",A. Iguodala,1984-01-28T00:00:00,Arizona,USA,Arizona/USA,6-6,215,13,9,Guard-Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,andre_iguodala,2004,2017,N,Y,2004,1,9
0,202691,Klay,Thompson,Klay Thompson,"Thompson, Klay",K. Thompson,1990-02-08T00:00:00,Washington State,USA,Washington State/USA,6-7,215,6,11,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,klay_thompson,2011,2017,N,Y,2011,1,11
0,1627745,Damian,Jones,Damian Jones,"Jones, Damian",D. Jones,1995-06-30T00:00:00,Vanderbilt,USA,Vanderbilt/USA,7-0,245,1,15,Center,Active,1610612744,Warriors,GSW,warriors,Golden State,damian_jones,2016,2017,Y,Y,2016,1,30
0,201956,Omri,Casspi,Omri Casspi,"Casspi, Omri",O. Casspi,1988-06-22T00:00:00,"Yavne, Israel",Israel,HapoelIsraelGalilIsraelElyon/Israel,6-9,225,8,18,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,omri_casspi,2009,2017,N,Y,2009,1,23
0,203110,Draymond,Green,Draymond Green,"Green, Draymond",D. Green,1990-03-04T00:00:00,Michigan State,USA,Michigan State/USA,6-7,230,5,23,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,draymond_green,2012,2017,N,Y,2012,2,35
0,1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,1993-01-11T00:00:00,Oregon,Canada,Oregon/Canada,6-10,200,0,25,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,chris_boucher,2017,2017,N,N,Undrafted,Undrafted,Undrafted
0,2585,Zaza,Pachulia,Zaza Pachulia,"Pachulia, Zaza",Z. Pachulia,1984-02-10T00:00:00,"Tbilisi, Georgia",Georgia,UlkersporGeorgia/Georgia,6-11,270,14,27,Center,Active,1610612744,Warriors,GSW,warriors,Golden State,zaza_pachulia,2003,2017,N,Y,2003,2,42
0,201939,Stephen,Curry,Stephen Curry,"Curry, Stephen",S. Curry,1988-03-14T00:00:00,Davidson,USA,Davidson/USA,6-3,190,8,30,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,stephen_curry,2009,2017,N,Y,2009,1,7
0,2733,Shaun,Livingston,Shaun Livingston,"Livingston, Shaun",S. Livingston,1985-09-11T00:00:00,Peoria Central HS (IL),USA,Peoria Central HS (IL)USA/USA,6-7,192,12,34,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,shaun_livingston,2004,2017,Y,Y,2004,1,4
0,201142,Kevin,Durant,Kevin Durant,"Durant, Kevin",K. Durant,1988-09-29T00:00:00,Texas,USA,Texas/USA,6-9,240,10,35,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,kevin_durant,2007,2017,N,Y,2007,1,2
