,GROUP_SET,GROUP_VALUE_ORDER,GROUP_VALUE,GROUP_VALUE_2,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,Points Against,0,W,All,15,15,0,1.0,48.0,45.9,88.0,0.522,12.8,31.6,0.405,18.0,21.7,0.828,8.9,37.8,46.7,31.7,15.5,9.1,8.8,4.1,21.3,18.6,122.7,17.6,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,186,
1,Points Against,4,W,80-89 Points,1,1,0,1.0,48.0,32.0,87.0,0.368,11.0,32.0,0.344,22.0,24.0,0.917,13.0,38.0,51.0,20.0,15.0,12.0,10.0,6.0,21.0,20.0,97.0,17.0,4,3,1,1,1,5,3,5,4,3,4,1,1,1,1,2,1,5,2,1,1,4,3,1,4,2,190,
2,Points Against,5,W,90-99 Points,3,3,0,1.0,48.0,45.0,89.3,0.504,13.3,32.3,0.412,18.3,21.3,0.859,7.3,37.3,44.7,32.0,11.7,11.0,9.7,6.3,19.7,17.0,121.7,28.0,3,2,1,1,1,2,1,2,1,2,1,2,3,2,4,4,4,2,1,2,3,5,1,4,2,1,191,
3,Points Against,6,W,100+ Points ,11,11,0,1.0,48.0,47.5,87.7,0.541,12.8,31.4,0.409,17.5,21.6,0.811,8.9,37.9,46.8,32.6,16.5,8.4,8.5,3.4,21.7,18.9,125.3,14.8,1,1,1,1,5,1,2,1,2,5,2,3,2,4,2,3,3,1,4,4,4,1,4,2,1,3,192,
4,Points Against,0,L,All,6,0,6,0.0,48.0,37.7,80.5,0.468,12.3,32.5,0.379,14.7,18.5,0.793,8.5,33.0,41.5,26.3,18.7,7.8,8.5,4.2,21.0,16.8,102.3,-7.3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,193,
5,Points Against,5,L,90-99 Points,1,0,1,0.0,48.0,33.0,82.0,0.402,10.0,32.0,0.313,12.0,19.0,0.632,7.0,40.0,47.0,22.0,15.0,9.0,10.0,5.0,24.0,15.0,88.0,-4.0,4,4,4,4,1,4,4,4,5,4,5,5,4,5,5,1,2,4,2,3,2,3,5,5,5,4,196,
6,Points Against,6,L,100+ Points ,5,0,5,0.0,48.0,38.6,80.2,0.481,12.8,32.6,0.393,15.2,18.4,0.826,8.8,31.6,40.4,27.2,19.4,7.6,8.2,4.0,20.4,17.2,105.2,-8.0,2,4,5,4,1,3,5,3,3,1,3,4,5,3,3,5,5,3,5,5,5,2,2,3,3,5,197,
0,Points Against,0,W,All,15,15,0,1.0,12.0,11.0,23.5,0.469,2.8,8.3,0.339,3.5,4.3,0.815,2.8,9.4,12.2,7.7,4.7,2.6,1.9,1.3,3.9,4.1,28.3,-0.8,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,2,186,
1,Points Against,4,W,80-89 Points,1,1,0,1.0,12.0,7.0,24.0,0.292,2.0,9.0,0.222,6.0,7.0,0.857,5.0,10.0,15.0,4.0,4.0,4.0,2.0,3.0,5.0,6.0,22.0,1.0,4,3,1,1,1,5,3,5,5,2,5,1,1,2,1,2,2,5,3,2,4,5,5,1,5,3,190,
2,Points Against,5,W,90-99 Points,3,3,0,1.0,12.0,9.7,24.0,0.403,2.3,8.3,0.28,1.7,2.3,0.714,1.3,7.3,8.7,7.7,3.3,3.7,2.3,1.7,4.7,3.3,23.3,-8.7,3,2,1,1,1,4,1,4,4,3,4,5,5,4,5,5,5,3,2,3,2,2,4,4,4,5,191,
